Section,Text,Order
Shipping Plan,"3/09 – All first RD of palms",1
Shipping Plan,"3/16 – All stores going forward (skip request will be accepted on non-holiday weeks)",2
V-Day,"Toss all remaining product Monday March 9th.",1
HPA Ads 3/19-4/1,"6” 12.98 Vigoro Special Buy — WAS $12.98 NOW $9.88 — All varieties — Merchandised on full POD — NEW 12x24 slip sign w/ 5x8 sign.",1
HPA Ads 3/19-4/1,"10” Majesty Special Buy — WAS $19.98 NOW $16.88 — Merchandised in the racetrack on pallets — NOT on the trop tables — NEW 12x24 slip sign w/ 5x8 sign.",2
HPA Ads 3/19-4/1,"4” Bromeliads Special Buy (MN ONLY) — 2 for $12 — Front of floral POD with sign.",3
HPA Ads 3/19-4/1,"Push the 6” DND bromeliads next week — Do NOT place 6” $5 bromeliads next to AD product — Use 5x8 sign with Special Buy topper.",4
HPA Ads 3/19-4/1,"10” Upgraded Tropical — EDLP 29.98 — Should be merchandised together on table or pallets.",5
HPA Ads 3/19-4/1,"10” Spath & ponytail shipping 3/9; 10” Spath, aglaonema, marginata staggered shipping 3/16 — NEW 12x24 slip sign w/ 5x8 sign.",6
HPA Ads 3/19-4/1,"8” Hanging Baskets — EDLP — Merchandised on HB fixture — No sign.",7
HPA Signage,"Stores will receive NEW 12x24 signage in the spring sign kit.",1
HPA Signage,"Get NEW signage put up by March 2nd (verify completion).",2
Palmania,"Palms start shipping March 9th — Space must be secured — Minimum 6 pallets per store.",1
Palmania,"Palms merchandised inside until weather improves.",2
Palmania,"Direct-ship palms & patio tropicals ship in May.",3
The Plant Company,"Shipping schedule has been sent out; product requests issued.",1
The Plant Company,"Be aggressive culling product on permanent racks to make room for new shipments.",2
The Plant Company,"Water product as needed.",3
The Plant Company,"If stores throw away racks or move them outside — notify Travis immediately.",4
Plainview/Altman,"Altman/Plainview photos must be submitted on AIR next week for ALL stores.",1
Plainview/Altman,"Plainview sending a sale rack with HPA orders — place rack in racetrack.",2
Plainview/Altman,"Sale signage will be attached to racks.",3
Plainview/Altman,"New Altman guide uploaded on the app.",4
