id,common_name,scientific_name,care
perennial:hosta,Hosta,Hosta spp.,"Shade to partial shade; keep soil evenly moist. Mulch to retain moisture and reduce slug damage."
perennial:daylily,Daylily,Hemerocallis spp.,"Full sun to partial shade; very adaptable. Water during establishment, drought tolerant once established."
perennial:coneflower,Coneflower,Echinacea purpurea,"Full sun; low to moderate water. Extremely hardy and drought tolerant once established."
perennial:blackeyedsusan,Black-eyed Susan,Rudbeckia hirta,"Full sun; moderate water. Deadhead to extend bloom period."
perennial:sedum,Sedum (Stonecrop),Sedum spp.,"Full sun; low water. Requires excellent drainage and does not tolerate soggy soil."
perennial:coralbells,Coral Bells,Heuchera spp.,"Partial shade; moderate moisture. Grown primarily for colorful foliage."
perennial:peony,Peony,Paeonia lactiflora,"Full sun to partial shade; moderate water. Avoid planting crowns too deep."
perennial:lavender,Lavender,Lavandula angustifolia,"Full sun; low water. Needs excellent drainage and good air circulation."
perennial:shasta_daisy,Shasta Daisy,Leucanthemum × superbum,"Full sun; moderate water. Deadhead to encourage rebloom."
perennial:garden_phlox,Garden Phlox,Phlox paniculata,"Full sun; consistent moisture. Provide good air circulation to reduce mildew."
perennial:creeping_phlox,Creeping Phlox,Phlox subulata,"Full sun; low to moderate water. Excellent groundcover with spring color."
perennial:bleeding_heart,Bleeding Heart,Lamprocapnos spectabilis,"Partial shade; moderate moisture. Goes dormant in summer heat."
perennial:astilbe,Astilbe,Astilbe spp.,"Partial shade; consistent moisture. Excellent for moist, shaded areas."
perennial:coreopsis,Coreopsis,Coreopsis spp.,"Full sun; low water. Long blooming and drought tolerant."
perennial:salvia,Salvia,Salvia nemorosa,"Full sun; moderate water. Cut back after flowering to encourage rebloom."
perennial:catmint,Catmint,Nepeta faassenii,"Full sun; low water. Shear after bloom to maintain shape."
perennial:yarrow,Yarrow,Achillea millefolium,"Full sun; low water. Tolerates poor soils and drought."
perennial:columbine,Columbine,Aquilegia canadensis,"Partial shade; moderate water. Short-lived but self-seeds."
perennial:blanket_flower,Blanket Flower,Gaillardia aristata,"Full sun; low water. Heat and drought tolerant."
perennial:switchgrass,Switchgrass,Panicum virgatum,"Full sun; low to moderate water. Native ornamental grass with strong fall interest."
perennial:fountain_grass,Fountain Grass,Pennisetum alopecuroides,"Full sun; moderate water. Cut back in early spring."
perennial:russian_sage,Russian Sage,Perovskia atriplicifolia,"Full sun; low water. Woody perennial with airy blue flowers."
perennial:liatris,Liatris (Blazing Star),Liatris spicata,"Full sun; moderate water. Strong pollinator plant."
perennial:bee_balm,Bee Balm,Monarda didyma,"Full sun to partial shade; moderate moisture. Watch for powdery mildew."
perennial:balloon_flower,Balloon Flower,Platycodon grandiflorus,"Full sun to partial shade; moderate water. Slow to emerge in spring."
perennial:ornamental_onion,Ornamental Onion,Allium spp.,"Full sun; low to moderate water. Avoid overly wet soils."
perennial:milkweed,Butterfly Weed,Asclepias tuberosa,"Full sun; low water. Native plant important for monarchs."
perennial:joe_pye,Joe-Pye Weed,Eutrochium purpureum,"Full sun to partial shade; consistent moisture. Tall native perennial."
perennial:goldenrod,Goldenrod,Solidago spp.,"Full sun; low to moderate water. Excellent late-season pollinator plant."
perennial:turtlehead,Turtlehead,Chelone lyonii,"Partial shade; consistent moisture. Late summer bloomer."
perennial:delphinium,Delphinium,Delphinium elatum,"Full sun; consistent moisture. Stake tall flower spikes."
perennial:lambs_ear,Lamb’s Ear,Stachys byzantina,"Full sun; low water. Soft foliage; dislikes wet soil."
perennial:hardy_geranium,Hardy Geranium,Geranium spp.,"Full sun to partial shade; moderate water. Reliable, long-blooming perennial."
perennial:penstemon,Penstemon,Penstemon digitalis,"Full sun; low to moderate water. Native and pollinator friendly."
